 WARNING | 01-30-23 | 17:58:19 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-81789/dea0c61d92d1a7ea825f2d19?size=feed-1080
 WARNING | 01-30-23 | 17:58:19 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-81790/dea0c61d92d1a7ea825f2d19?size=feed-1080
 WARNING | 01-30-23 | 17:58:21 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-81860/2bee9172b198c71417d09b94?v=26f88120&size=feed-1080
 DEBUG | 01-30-23 | 17:58:25 | Monday | 1000
 WARNING | 01-30-23 | 17:58:28 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38938/2f42bdd70c0bdc3f873b8215?size=feed-1080
 WARNING | 01-30-23 | 17:58:28 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38939/ef6c920c37b77fb1ca9c13d8?v=5de594ac&size=feed-1080
 WARNING | 01-30-23 | 17:58:28 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38941/d8ffbe37e8f669a21e715a26?size=feed-1080
 WARNING | 01-30-23 | 17:58:28 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38963/406be8dff0989723c4e4d523?v=bde87c9a&size=feed-1080
 WARNING | 01-30-23 | 17:58:28 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38962/e571f260c2240fa2fb10dd47?size=feed-1080
 WARNING | 01-30-23 | 17:58:28 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38942/154e907fd0372763cd10e0b9?size=feed-1080
 WARNING | 01-30-23 | 17:58:28 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38992/c1e264df44cc9bbcee189c15?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38965/3ae0a74e1770bae84306850c?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38964/7dffcc76da0c5ccc9fd81f96?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38944/90cf7813cc5faec9db6ef4aa?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38987/0bf0b416bd358159315e0306?v=ee3c061a&size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-21933/2e5604e06a761dad71097f0d?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38966/f00e68c8b7a14efadad5c812?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38986/5490908ce824100a35343c7f?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38940/0377037e3ac75e6d6cc36ca5?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38967/4e62ae3adcce47920ab9d468?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38989/dafc6e31eb359ba2699e503c?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-21931/a34fa6d384bc1958687e6379?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38968/f07212d4069ac7528e7ebaef?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38943/522723eb46b60d143bec23f5?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38988/404be1a94f55ad30b5aa9ff0?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-21932/69e0a89e04297860cf57632e?size=feed-1080
 WARNING | 01-30-23 | 17:58:29 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-38990/bc97888f51029d1974508de0?size=feed-1080
 WARNING | 01-30-23 | 17:58:31 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39004/3c3e5b78284ad7f4b93a9a81?v=9c2160b3&size=feed-1080
 WARNING | 01-30-23 | 17:58:31 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39006/c28974fe70fb8b89ccf01350?v=0b7aa1ca&size=feed-1080
 WARNING | 01-30-23 | 17:58:31 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39003/d478712bb2004d9da83e7cb1?v=b8c1f0a5&size=feed-1080
 WARNING | 01-30-23 | 17:58:31 | Monday | [NO_REQUEST]: 404 | https://data.sanitino.eu/PRODUCT-39005/0a5ad52752875148cd780ca9?v=4ef5c664&size=feed-1080
